"手にしたものに とくべつな力を あたえると いわれている ふしぎな石。",""
"なんでも あけられる ハイテクなカギ。",""
"ただし つかいすて。",""
"HPが#{Apple_Value}かいふくした!",""
"あかくて あまくて けんこうにいい くだもの。",""
"HPが#{Apple_Value}かいふくする。",""
"HPが#{GreatApple_Value}かいふくした!",""
"じょうひんな あじわいの レアなリンゴ。",""
"HPが#{GreatApple_Value}かいふくする。",""
"かるくて じょうぶな いいそざいの たて。",""
"まもりが #{Shield_Value}ふえる。",""
"手にすれば なんだか じしんも わいてくる。",""
"こうげきが #{Sword_Value}ふえる。",""
"こうげきが #{DragonSword_Value}ふえる。",""
"ふりおろせば ドラゴンのように 火をふく。",""
"いたに しゃりんが ついたもの。",""
"よこいどうが #{Skateboard_Value}ばいになる。",""
"いま#{Time_Hour}:#{Time_Minute as Zp}。",""
"げんざいの時間を 数字でおしえてくれる。",""
"アナログなほうが ちょっかんてきという 人もいる。",""
"遠くから こうげきできて つよい。",""
"#{Arrow_Value}マスさきまで とぶ。",""
"#{Bomb_Turn}ターン後に ばくはつ。",""
"かべもこわせる。 とりあつかいちゅうい。",""
"じんこうてきな くものすが あらわれる。",""
"#{CobwebBall_Turn}ターン てきを うごけなくする。",""
"HP: #{Member(""Hp"")}/#{Member(""MaxHp"")} こうげき: #{Member(""Attack"")}、まもり: #{Member(""Defense"")}",""
"そのほうこうには だれもいない。",""
"てきの のうりょくを しらべることが できる すごいきかい。",""
"ただし しらべるためには しきんきょりに 近づく ひつようがある。",""
"しゅうへんに #{WoodTester_Count}本の 木があります。",""
"しゅうへんの 木のかずを かぞえることができる なぞのきかい。",""
"だれが なんのために 作ったのだろう…。",""
"空気に ショックをあたえ、 とっぷうを はっせいさせる すごいそうち。",""
"みんなを#{GustGenerator_Value}マス うごかす。",""
"せっちしたばしょで ほうでん。",""
"#{ElecBall_Life}かい あたるときえる。",""
"よこ#{Player_Pos_X as Zp} たて#{Player_Pos_Y as Zp} のばしょにいます。",""
"GPSとは グリッド・ポイント・スペクテータの りゃく。",""
"自分の いちを 知ることができる。",""
"倉庫を あけるための カギ。",""
"#{Member(""Damage"")}のダメージをうけた。",""
"#{Member(""Damage"")}のダメージをあたえた。",""
"#{Player_MoneyEarned}Gと#{Player_ExpEarned}EXPをかくとくした。",""
"レベルが#{Player_Lv}にあがった！",""
"こうげき+#{Player_AttackInc}、さいだいHP+#{Player_HpInc}",""
"まもり+#{Player_DefenseInc}、さいだいHP+#{Player_HpInc}",""
"さいだいHP+#{Player_HpInc}",""
"#{ItemText(ItemFound_Kind)}を みつけた！",""
"もちものが いっぱいで はいらなかった。",""
"#{MoneyFound_Money}Gを みつけた！",""
"まほうのカギを つかいますか？",""
"カギがかかっている。",""
"FATAL ERROR (#{Error_Code})",""
