"かべだ。",""
"タンクのようだ。",""
"コンピューターだ。",""
"おお、かえってきた！",""
"オカエリ！",""
"赤い結晶は…みつからなかったか。",""
"赤い結晶は#{Summary_CrystalCount}こみつかったか！",""
"すばらしい！",""
"すごい！赤い結晶を#{Summary_CrystalCount}こもみつけたのか！",""
"おい、だいじょうぶか！",""
"うん、だいじょうぶそうだ。",""
"やはりかなりつかれているみたいだ。",""
"ブジデ ヨカッタ。",""
"ハカセ。",""
"カノジョハ ニンゲンジャナイノ？",""
"…。",""
"かのじょは ふつうの にんげんじゃない。",""
"とくべつなちが ながれているんだ。",""
"ふしぎなことに そのせいぶんは 赤い結晶に とてもにている…。",""
"そのちの おかげで 時空をいどうしても ぶじでいられる。",""
"ナルホド。",""
"だから、かのじょは もとのせかいを とりもどす さいごのきぼうなんだ。",""
"赤い結晶を あつめてもらわないと…。",""
"もういちどあそびますか？",""
"このバージョンは これでおわりです！",""
"すべての 赤い結晶を あつめることが できたのですね！",""
"すばらしいです！",""
"もし ゲームの つづきが かんせいしたら ぜひ また あそんでほしいです。",""
"イェーイ！ うれしいです。",""
"それでは また おあいしましょう。",""
"え…。",""
"もちものを ひきついで もういちどあそびますか？",""
"あそんでくれて ありがとうございました。",""
"クリアがめんを ほぞんしますか？",""
"タイトルに もどりますか？ (もちものは うしなわれます。)",""
"おはよう。",""
"じゅんびはいい？",""
"ミッションを かくにんするよ。",""
"きみは #{Doctor_Year0}#{Doctor_Year1}#{Doctor_Year2}#{Doctor_Year3}年前に てんそうされる。",""
"そこで 赤い結晶を さがすんだ。",""
"#{Doctor_Hour}時間後に こちらにぎゃくてんそうする。",""
"いいね？",""
"よし、それじゃあ、左のそうちに 立ってくれ。",""
"オハヨウ！",""
"ケンコウジョウタイハ ドウカナ",""
"…チェックチュウ…",""
"OK. モンダイナイデス",""
"イッテラッシャイ！ハカセガ マッテルヨ",""
"ぶじで かえってくるんだよ。",""
"テンソウカイシ！",""
"ベッドだ。",""
"トビラをあけますか？",""
